Source,Target,Weight
NCBITaxon:817,MONDO:0005052,2
NCBITaxon:562,MONDO:0005575,1
NCBITaxon:39488,MONDO:0005300,1
NCBITaxon:29523,MONDO:0011962,1
NCBITaxon:39491,MONDO:0008383,2
NCBITaxon:165179,MONDO:0005575,1
NCBITaxon:39491,MONDO:0005300,1
NCBITaxon:853,MONDO:0005101,2
NCBITaxon:165179,MONDO:0858950,1
NCBITaxon:1280,MONDO:0008383,2
NCBITaxon:1596,MONDO:0005090,1
NCBITaxon:33038,MONDO:0005300,1
NCBITaxon:1496,MONDO:0009061,2
NCBITaxon:29523,MONDO:0008903,1
NCBITaxon:239935,MONDO:0005575,1
NCBITaxon:1265,MONDO:0011565,2
NCBITaxon:1547,MONDO:0005575,1
NCBITaxon:1686,MONDO:0005052,2
NCBITaxon:562,MONDO:0005300,1
NCBITaxon:39488,MONDO:0005090,1
NCBITaxon:1537,MONDO:0005052,2
NCBITaxon:292800,MONDO:0005546,1
NCBITaxon:817,MONDO:0005575,1
NCBITaxon:1506,MONDO:0008903,1
NCBITaxon:29523,MONDO:0008487,1
NCBITaxon:33038,MONDO:0005052,2
NCBITaxon:29523,MONDO:0005546,1
NCBITaxon:907,MONDO:0005090,1
NCBITaxon:39491,MONDO:0005101,2
NCBITaxon:84112,MONDO:0008383,2
NCBITaxon:1506,MONDO:0005081,1
NCBITaxon:33038,MONDO:0005090,1
NCBITaxon:29523,MONDO:0009061,1
NCBITaxon:74426,MONDO:0011565,2
NCBITaxon:33038,MONDO:0005101,2
NCBITaxon:28116,MONDO:0008487,1
NCBITaxon:1506,MONDO:0005546,1
NCBITaxon:239935,MONDO:0007803,1
NCBITaxon:29523,MONDO:0005010,1
NCBITaxon:817,MONDO:0008383,2
NCBITaxon:1773,MONDO:0008903,1
NCBITaxon:29466,MONDO:0005090,1
NCBITaxon:818,MONDO:0858950,1
NCBITaxon:562,MONDO:0008226,1
NCBITaxon:142586,MONDO:0002009,1
NCBITaxon:817,MONDO:0005300,1
NCBITaxon:1280,MONDO:0024388,1
NCBITaxon:1588,MONDO:0005101,1
NCBITaxon:72000,MONDO:0005260,1
NCBITaxon:1493,MONDO:0015183,1
NCBITaxon:446660,MONDO:0005147,1
NCBITaxon:1245,MONDO:0011565,1
NCBITaxon:192,MONDO:0024388,1
NCBITaxon:89152,MONDO:0009861,1
NCBITaxon:901,MONDO:0011565,1
NCBITaxon:1773,MONDO:0005147,1
NCBITaxon:168384,MONDO:0005154,1
NCBITaxon:1590,MONDO:0009061,1
NCBITaxon:244366,MONDO:0005052,1
NCBITaxon:626935,MONDO:0005260,1
NCBITaxon:549,MONDO:0010726,1
NCBITaxon:80866,MONDO:0005101,1
NCBITaxon:36847,MONDO:0011565,1
NCBITaxon:34015,MONDO:0005260,1
NCBITaxon:1203555,MONDO:0015183,1
NCBITaxon:1623,MONDO:0005101,1
NCBITaxon:442,MONDO:0009061,1
NCBITaxon:1493,MONDO:0005147,1
NCBITaxon:820,MONDO:0018076,1
NCBITaxon:187400,MONDO:0015183,1
NCBITaxon:457421,MONDO:0005260,1
NCBITaxon:411489,MONDO:0005154,1
NCBITaxon:550,MONDO:0018076,1
NCBITaxon:1744,MONDO:0009061,1
NCBITaxon:1519,MONDO:0005027,1
NCBITaxon:1203555,MONDO:0005147,1
NCBITaxon:457416,MONDO:0005154,1
NCBITaxon:1426,MONDO:0005147,1
NCBITaxon:392009,MONDO:0009061,1
NCBITaxon:244366,MONDO:0024388,1
NCBITaxon:818,MONDO:0015183,1
NCBITaxon:255723,MONDO:0010726,1
NCBITaxon:33038,MONDO:0008383,1
NCBITaxon:1396,MONDO:0005052,1
NCBITaxon:1255,MONDO:0005101,1
NCBITaxon:1736,MONDO:0008383,1
NCBITaxon:103892,MONDO:0011565,1
NCBITaxon:469585,MONDO:0005147,1
NCBITaxon:1624,MONDO:0005052,1
NCBITaxon:1406,MONDO:0015183,1
NCBITaxon:907,MONDO:0009861,1
NCBITaxon:1596,MONDO:0010726,1
NCBITaxon:818,MONDO:0005147,1
NCBITaxon:1398,MONDO:0008383,1
NCBITaxon:74426,MONDO:0009861,1
NCBITaxon:1382,MONDO:0011565,1
NCBITaxon:1505,MONDO:0008383,1
NCBITaxon:1540,MONDO:0005154,1
NCBITaxon:548,MONDO:0015183,1
NCBITaxon:29385,MONDO:0010726,1
NCBITaxon:881,MONDO:0011382,1
NCBITaxon:1396,MONDO:0024388,1
NCBITaxon:881,MONDO:0005148,1
NCBITaxon:435,MONDO:0008383,1
NCBITaxon:329,MONDO:0005052,1
NCBITaxon:457396,MONDO:0005101,1
NCBITaxon:1590,MONDO:0015183,1
NCBITaxon:358,MONDO:0005027,1
NCBITaxon:1718,MONDO:0005154,1
NCBITaxon:548,MONDO:0005147,1
NCBITaxon:817,MONDO:0009061,1
NCBITaxon:457394,MONDO:0018076,1
NCBITaxon:1624,MONDO:0024388,1
NCBITaxon:469590,MONDO:0005147,1
NCBITaxon:562,MONDO:0011565,1
NCBITaxon:204038,MONDO:0005027,1
