id,type,node_color
NCBITaxon:457395,microbe,blue
NCBITaxon:457396,microbe,blue
NCBITaxon:457412,microbe,blue
NCBITaxon:457416,microbe,blue
NCBITaxon:457421,microbe,blue
NCBITaxon:46506,microbe,blue
NCBITaxon:469585,microbe,blue
NCBITaxon:469588,microbe,blue
NCBITaxon:469589,microbe,blue
NCBITaxon:469590,microbe,blue
NCBITaxon:469591,microbe,blue
NCBITaxon:469592,microbe,blue
NCBITaxon:469593,microbe,blue
NCBITaxon:469610,microbe,blue
NCBITaxon:469613,microbe,blue
NCBITaxon:470,microbe,blue
NCBITaxon:471189,microbe,blue
NCBITaxon:47678,microbe,blue
NCBITaxon:487,microbe,blue
NCBITaxon:4932,microbe,blue
NCBITaxon:4950,microbe,blue
NCBITaxon:498718,microbe,blue
NCBITaxon:501571,microbe,blue
NCBITaxon:502558,microbe,blue
NCBITaxon:51669,microbe,blue
NCBITaxon:52226,microbe,blue
NCBITaxon:542,microbe,blue
NCBITaxon:544644,microbe,blue
NCBITaxon:544645,microbe,blue
NCBITaxon:546,microbe,blue
NCBITaxon:548,microbe,blue
NCBITaxon:549,microbe,blue
NCBITaxon:550,microbe,blue
NCBITaxon:552396,microbe,blue
NCBITaxon:552398,microbe,blue
NCBITaxon:556259,microbe,blue
NCBITaxon:556261,microbe,blue
NCBITaxon:562,microbe,blue
NCBITaxon:563193,microbe,blue
NCBITaxon:57037,microbe,blue
NCBITaxon:571,microbe,blue
NCBITaxon:572010,microbe,blue
NCBITaxon:573,microbe,blue
NCBITaxon:57706,microbe,blue
NCBITaxon:584,microbe,blue
NCBITaxon:585,microbe,blue
NCBITaxon:585544,microbe,blue
NCBITaxon:615,microbe,blue
NCBITaxon:626935,microbe,blue
NCBITaxon:626937,microbe,blue
NCBITaxon:626940,microbe,blue
NCBITaxon:628,microbe,blue
NCBITaxon:644,microbe,blue
NCBITaxon:658082,microbe,blue
NCBITaxon:658087,microbe,blue
NCBITaxon:658089,microbe,blue
NCBITaxon:658655,microbe,blue
NCBITaxon:658659,microbe,blue
NCBITaxon:659,microbe,blue
NCBITaxon:661,microbe,blue
NCBITaxon:665943,microbe,blue
NCBITaxon:665951,microbe,blue
NCBITaxon:67854,microbe,blue
NCBITaxon:68895,microbe,blue
NCBITaxon:69823,microbe,blue
NCBITaxon:69962,microbe,blue
NCBITaxon:72000,microbe,blue
NCBITaxon:729,microbe,blue
NCBITaxon:74426,microbe,blue
NCBITaxon:80866,microbe,blue
NCBITaxon:817,microbe,blue
NCBITaxon:818,microbe,blue
NCBITaxon:820,microbe,blue
NCBITaxon:821,microbe,blue
NCBITaxon:823,microbe,blue
NCBITaxon:831,microbe,blue
NCBITaxon:83565,microbe,blue
NCBITaxon:83771,microbe,blue
NCBITaxon:839,microbe,blue
NCBITaxon:84024,microbe,blue
NCBITaxon:84112,microbe,blue
NCBITaxon:844,microbe,blue
NCBITaxon:853,microbe,blue
NCBITaxon:85698,microbe,blue
NCBITaxon:871665,microbe,blue
NCBITaxon:881,microbe,blue
NCBITaxon:882211,microbe,blue
NCBITaxon:89152,microbe,blue
NCBITaxon:901,microbe,blue
NCBITaxon:907,microbe,blue
NCBITaxon:920,microbe,blue
NCBITaxon:92945,microbe,blue
NCBITaxon:971,microbe,blue
NCBITaxon:97478,microbe,blue
NCBITaxon:99675,microbe,blue
MESH:D012907,disease,red
MONDO:0001711,disease,red
MONDO:0002009,disease,red
MONDO:0002635,disease,red
MONDO:0002974,disease,red
MONDO:0005010,disease,red
MONDO:0005027,disease,red
MONDO:0005052,disease,red
MONDO:0005081,disease,red
MONDO:0005090,disease,red
MONDO:0005101,disease,red
MONDO:0005147,disease,red
MONDO:0005148,disease,red
MONDO:0005154,disease,red
MONDO:0005260,disease,red
MONDO:0005264,disease,red
MONDO:0005298,disease,red
MONDO:0005300,disease,red
MONDO:0005546,disease,red
MONDO:0005575,disease,red
MONDO:0005649,disease,red
MONDO:0006665,disease,red
MONDO:0007739,disease,red
MONDO:0007803,disease,red
MONDO:0008226,disease,red
MONDO:0008315,disease,red
MONDO:0008383,disease,red
MONDO:0008487,disease,red
MONDO:0008903,disease,red
MONDO:0009061,disease,red
MONDO:0009861,disease,red
MONDO:0010726,disease,red
MONDO:0011382,disease,red
MONDO:0011565,disease,red
MONDO:0011962,disease,red
MONDO:0015183,disease,red
MONDO:0018076,disease,red
MONDO:0024388,disease,red
MONDO:0858950,disease,red
CHEBI:29073,metabolite,green
CHEBI:62064,metabolite,green
PUBCHEM.COMPOUND:1000,metabolite,green
PUBCHEM.COMPOUND:1001,metabolite,green
PUBCHEM.COMPOUND:1005,metabolite,green
PUBCHEM.COMPOUND:10111,metabolite,green
PUBCHEM.COMPOUND:10133,metabolite,green
PUBCHEM.COMPOUND:1014,metabolite,green
PUBCHEM.COMPOUND:10140,metabolite,green
PUBCHEM.COMPOUND:1015,metabolite,green
PUBCHEM.COMPOUND:101543,metabolite,green
PUBCHEM.COMPOUND:1018,metabolite,green
PUBCHEM.COMPOUND:1021,metabolite,green
PUBCHEM.COMPOUND:10258,metabolite,green
PUBCHEM.COMPOUND:102959,metabolite,green
PUBCHEM.COMPOUND:10296,metabolite,green
PUBCHEM.COMPOUND:1031,metabolite,green
PUBCHEM.COMPOUND:1032,metabolite,green
PUBCHEM.COMPOUND:10357,metabolite,green
PUBCHEM.COMPOUND:10393,metabolite,green
PUBCHEM.COMPOUND:10394,metabolite,green
PUBCHEM.COMPOUND:10413,metabolite,green
PUBCHEM.COMPOUND:10430,metabolite,green
PUBCHEM.COMPOUND:1045,metabolite,green
PUBCHEM.COMPOUND:10457,metabolite,green
PUBCHEM.COMPOUND:10465,metabolite,green
PUBCHEM.COMPOUND:10467,metabolite,green
PUBCHEM.COMPOUND:1050,metabolite,green
PUBCHEM.COMPOUND:1051,metabolite,green
PUBCHEM.COMPOUND:1052,metabolite,green
PUBCHEM.COMPOUND:1054,metabolite,green
PUBCHEM.COMPOUND:1055,metabolite,green
PUBCHEM.COMPOUND:1059,metabolite,green
PUBCHEM.COMPOUND:1060,metabolite,green
PUBCHEM.COMPOUND:1066,metabolite,green
PUBCHEM.COMPOUND:1068,metabolite,green
PUBCHEM.COMPOUND:10690,metabolite,green
PUBCHEM.COMPOUND:107,metabolite,green
PUBCHEM.COMPOUND:10742,metabolite,green
PUBCHEM.COMPOUND:107689,metabolite,green
PUBCHEM.COMPOUND:1081,metabolite,green
PUBCHEM.COMPOUND:1088,metabolite,green
PUBCHEM.COMPOUND:10917,metabolite,green
PUBCHEM.COMPOUND:10972,metabolite,green
PUBCHEM.COMPOUND:11005,metabolite,green
PUBCHEM.COMPOUND:1102,metabolite,green
