299	19	1
441	12	1
28	26	1
423	19	1
314	7	1
97	8	1
448	19	1
225	19	1
383	19	1
94	19	1
304	9	1
270	10	1
215	19	1
57	8	1
119	30	1
97	7	1
454	19	1
448	26	1
285	7	1
88	19	1
229	7	1
324	19	1
95	24	1
116	2	1
172	7	1
350	8	1
45	10	1
349	19	1
299	24	1
76	9	1
117	19	1
286	10	1
22	14	1
383	24	1
119	14	1
136	19	1
57	10	1
438	19	1
173	10	1
450	19	1
179	7	1
291	9	1
173	28	1
33	19	1
193	19	1
49	29	1
267	28	1
88	28	1
117	24	1
282	8	1
56	19	1
79	10	1
297	3	1
384	10	1
240	19	1
450	24	1
127	10	1
1	19	1
287	10	1
42	8	1
301	8	1
151	19	1
342	19	1
377	12	1
16	10	1
347	19	1
314	30	1
250	9	1
365	19	1
275	19	1
282	10	1
145	10	1
84	10	1
305	3	1
62	3	1
332	10	1
238	10	1
281	19	1
37	7	1
282	28	1
238	28	1
205	24	1
301	10	1
359	19	1
27	19	1
277	19	1
314	14	1
333	10	1
42	28	1
233	19	1
365	24	1
275	24	1
54	19	1
385	19	1
281	24	1
286	8	1
211	10	1
192	10	1
23	24	1
190	24	1
132	19	1
383	8	1
318	9	1
278	26	1
173	8	1
263	19	1
286	7	1
223	19	1
378	19	1
457	19	1
57	7	1
394	10	1
379	9	1
159	19	1
188	19	1
173	7	1
452	9	1
322	19	1
299	10	1
271	3	1
20	19	1
179	14	1
43	19	1
117	8	1
313	30	1
233	28	1
448	10	1
383	10	1
30	19	1
79	7	1
383	28	1
159	24	1
374	19	1
318	3	1
316	19	1
33	8	1
287	7	1
329	13	1
307	3	1
313	14	1
349	10	1
189	19	1
20	24	1
317	24	1
430	19	1
152	10	1
117	10	1
316	26	1
51	9	1
339	9	1
16	7	1
9	3	1
431	19	1
282	7	1
104	19	1
145	7	1
117	28	1
390	5	1
232	19	1
102	19	1
388	19	1
74	7	1
30	10	1
63	19	1
404	24	1
122	10	1
48	30	1
55	19	1
87	19	1
316	24	1
367	19	1
326	19	1
153	10	1
218	19	1
176	19	1
301	7	1
56	10	1
298	10	1
9	38	1
281	8	1
21	3	1
23	19	1
190	19	1
281	26	1
56	28	1
458	19	1
22	3	1
39	9	1
8	29	1
66	29	1
173	30	1
25	19	1
312	19	1
342	10	1
82	19	1
139	19	1
347	10	1
365	10	1
275	10	1
424	19	1
74	21	1
97	14	1
457	0	1
130	19	1
394	7	1
408	19	1
255	19	1
281	10	1
275	28	1
368	10	1
289	24	1
281	28	1
244	19	1
314	9	1
368	28	1
191	19	1
277	10	1
383	7	1
121	8	1
26	19	1
309	30	1
139	10	1
395	19	1
212	9	1
285	9	1
148	19	1
317	19	1
266	19	1
303	19	1
337	19	1
385	10	1
335	9	1
84	30	1
238	30	1
71	19	1
90	19	1
409	19	1
386	9	1
98	19	1
220	19	1
287	14	1
210	19	1
166	9	1
117	7	1
44	19	1
265	19	1
404	19	1
208	19	1
132	28	1
159	10	1
392	26	1
301	30	1
93	19	1
188	10	1
282	14	1
314	3	1
179	9	1
416	9	1
20	10	1
36	9	1
317	10	1
33	7	1
353	9	1
153	7	1
285	3	1
301	14	1
392	10	1
167	29	1
406	9	1
437	19	1
290	9	1
342	8	1
426	32	1
364	19	1
313	9	1
316	10	1
108	10	1
84	9	1
275	8	1
189	10	1
211	14	1
436	30	1
342	7	1
461	24	1
273	3	1
368	8	1
289	19	1
311	24	1
365	7	1
275	7	1
328	11	1
214	19	1
350	12	1
383	30	1
339	3	1
437	24	1
135	9	1
281	7	1
394	14	1
277	8	1
368	7	1
364	24	1
23	7	1
129	3	1
315	19	1
252	24	1
385	8	1
411	10	1
408	8	1
383	14	1
23	10	1
268	3	1
458	10	1
385	7	1
16	37	1
150	19	1
302	10	1
289	28	1
312	10	1
199	19	1
419	9	1
320	19	1
39	3	1
315	24	1
349	14	1
286	9	1
386	25	1
317	8	1
159	7	1
448	9	1
202	19	1
173	9	1
196	19	1
20	7	1
317	7	1
143	24	1
400	19	1
81	27	1
409	7	1
414	26	1
392	7	1
257	9	1
461	19	1
316	7	1
67	11	1
164	11	1
90	10	1
97	3	1
127	9	1
287	9	1
124	19	1
311	19	1
24	19	1
251	34	1
247	10	1
227	28	1
414	10	1
