28133	0006665
165179	0044926
35783	0018585
1591	0005044
1532	0005052
1306	0009688
706562	0005301
625	0002691
35833	0005575
37915	0009061
1591	0019087
1591	0005258
856	0005101
68766	0004631
28117	0005011
43675	0005076
42895	0003232
1328	0004950
41978	0002203
322095	0008383
856	0000527
820	0005148
35783	0019167
1596	0005318
29523	0004976
142586	0005076
301	0005276
33033	0005076
853	0011122
242750	0006858
29387	0004980
142586	0005002
29317	0006781
5057	0005011
1506	0006920
290054	0005260
1535	0005101
43675	0006052
1379	0004844
214853	0009061
59823	0007191
817	0005260
1869337	0004982
1409	0005258
1683	0100290
1735	0008171
1352	0009061
165179	0005083
64495	0020283
28124	0005076
505	0005276
1343	0015356
39486	0005083
410072	0001751
1343	0001039
35783	0001711
817	0005488
28124	0005002
29523	0005812
1306	0005388
292800	0005052
470565	0005276
562	0005338
1313	0005249
1017	0011122
35833	0005649
1099853	0005101
1261	0005575
139132	0005276
1196441	0005276
239935	0007803
29387	0011438
479	0005812
39491	0009061
820	0002268
39488	0007699
39488	0005180
28123	0005575
1869337	0001505
187326	0007699
1496	0005260
28134	0002635
142586	0005404
1689	0007191
40520	0002679
41200	0008383
41978	0004985
28037	0005101
1506	0004980
29523	0005312
142586	0005344
59823	0002345
43675	0004844
28025	0005180
1309	0011122
907	0007191
156976	0006624
40543	0002234
1351	0002234
189722	0008383
216816	0005130
820	0005546
1537	0005130
29523	0005083
1264	0005260
328813	0005546
357276	0005180
823	0043839
59823	0005316
68892	0005076
28131	0005276
425941	0015356
418240	0011122
35783	0007883
59823	0015254
29523	0021187
154288	0005011
293	0002635
29523	0003232
511435	0005180
46206	0005575
625	0019100
154	0005258
29523	0004981
41976	0005076
1306	0008903
106649	0005133
484	0015356
1655	0005076
216816	0007027
387661	0005149
43769	0024352
51288	0011122
1313	0005147
41200	0018229
820	0005260
66228	0001187
308994	0005109
625	0005011
40543	0002974
328813	0005260
1623	0004790
39486	0005265
68766	0013433
671267	0008383
41200	0004375
853	0005148
853	0004979
390842	0005276
37637	0009061
1591	0044937
1591	0005276
28126	0006052
40518	0000088
59823	0005016
1522	0001942
242230	0001751
1306	0009061
46124	0005076
166	0005076
166	0005002
208479	0005148
837	0011122
727	0009061
625	0005960
35783	0004979
1907210	0005441
68892	0004844
180282	0004822
384636	0001942
860	0007191
885	0005010
39491	0005575
123834	0005318
156979	0006624
1130798	0011122
29387	0011122
40518	0004980
29523	0005265
1686	0000594
45634	0001187
29387	0043519
1833	0007915
239935	0019086
508451	0002974
29466	0011122
384638	0011122
59823	0001103
29317	0004980
43675	0005276
29523	0001187
1613	0005276
68766	0006723
454155	0005044
