NCBITaxon:28025	PUBCHEM.COMPOUND:10393
NCBITaxon:1488	PUBCHEM.COMPOUND:444173
NCBITaxon:33059	PUBCHEM.COMPOUND:757
NCBITaxon:2159	PUBCHEM.COMPOUND:297
NCBITaxon:106590	PUBCHEM.COMPOUND:6560
NCBITaxon:1063	PUBCHEM.COMPOUND:3080745
NCBITaxon:1280	PUBCHEM.COMPOUND:9378
NCBITaxon:1294290	PUBCHEM.COMPOUND:5280899
NCBITaxon:882211	PUBCHEM.COMPOUND:1068
NCBITaxon:470	PUBCHEM.COMPOUND:10296
NCBITaxon:204038	PUBCHEM.COMPOUND:6602503
NCBITaxon:1268	PUBCHEM.COMPOUND:5280518
NCBITaxon:546	PUBCHEM.COMPOUND:1045
NCBITaxon:216816	PUBCHEM.COMPOUND:444173
NCBITaxon:2333	PUBCHEM.COMPOUND:1032
NCBITaxon:53434	PUBCHEM.COMPOUND:1146
NCBITaxon:1521	PUBCHEM.COMPOUND:6560
NCBITaxon:549	PUBCHEM.COMPOUND:802
NCBITaxon:292800	PUBCHEM.COMPOUND:10394
NCBITaxon:628	PUBCHEM.COMPOUND:31268
NCBITaxon:41294	PUBCHEM.COMPOUND:6213
NCBITaxon:1712	PUBCHEM.COMPOUND:444539
NCBITaxon:1406	CHEBI:62064
NCBITaxon:119060	PUBCHEM.COMPOUND:1146
NCBITaxon:72294	PUBCHEM.COMPOUND:1146
NCBITaxon:84642	PUBCHEM.COMPOUND:1146
NCBITaxon:1748	PUBCHEM.COMPOUND:1031
NCBITaxon:552546	PUBCHEM.COMPOUND:5280899
NCBITaxon:119045	PUBCHEM.COMPOUND:53477780
NCBITaxon:1509	PUBCHEM.COMPOUND:803
NCBITaxon:2183	PUBCHEM.COMPOUND:297
NCBITaxon:287	PUBCHEM.COMPOUND:53481793
NCBITaxon:1511	PUBCHEM.COMPOUND:802
NCBITaxon:853	PUBCHEM.COMPOUND:464
NCBITaxon:59201	PUBCHEM.COMPOUND:9877306
NCBITaxon:341225	PUBCHEM.COMPOUND:135
NCBITaxon:1747	PUBCHEM.COMPOUND:1081
NCBITaxon:90964	PUBCHEM.COMPOUND:10296
NCBITaxon:408170	PUBCHEM.COMPOUND:45093080
NCBITaxon:2775522	PUBCHEM.COMPOUND:783
NCBITaxon:1358	PUBCHEM.COMPOUND:444173
NCBITaxon:2013681	PUBCHEM.COMPOUND:1145
NCBITaxon:2203	PUBCHEM.COMPOUND:297
NCBITaxon:38308	PUBCHEM.COMPOUND:12358756
NCBITaxon:1423	PUBCHEM.COMPOUND:1001
NCBITaxon:1578	PUBCHEM.COMPOUND:439837
NCBITaxon:2062	PUBCHEM.COMPOUND:443201
NCBITaxon:2937909	PUBCHEM.COMPOUND:1146
NCBITaxon:227290	PUBCHEM.COMPOUND:444305
NCBITaxon:1351	PUBCHEM.COMPOUND:444173
NCBITaxon:1490	PUBCHEM.COMPOUND:102959
NCBITaxon:1198451	PUBCHEM.COMPOUND:297
NCBITaxon:31957	PUBCHEM.COMPOUND:7427
NCBITaxon:29466	PUBCHEM.COMPOUND:1032
NCBITaxon:1706373	PUBCHEM.COMPOUND:135
NCBITaxon:84112	PUBCHEM.COMPOUND:10296
NCBITaxon:1428	PUBCHEM.COMPOUND:5610
NCBITaxon:254954	PUBCHEM.COMPOUND:5280899
NCBITaxon:644	PUBCHEM.COMPOUND:10413
NCBITaxon:1681	PUBCHEM.COMPOUND:10296
NCBITaxon:29385	PUBCHEM.COMPOUND:107689
NCBITaxon:183713	PUBCHEM.COMPOUND:297
NCBITaxon:1227947	PUBCHEM.COMPOUND:5280899
NCBITaxon:1255	PUBCHEM.COMPOUND:444173
NCBITaxon:1519	PUBCHEM.COMPOUND:263
NCBITaxon:1665	PUBCHEM.COMPOUND:674
NCBITaxon:1686	PUBCHEM.COMPOUND:53477780
NCBITaxon:971	PUBCHEM.COMPOUND:1032
NCBITaxon:40725	PUBCHEM.COMPOUND:450268
NCBITaxon:542	PUBCHEM.COMPOUND:6251
NCBITaxon:None	PUBCHEM.COMPOUND:297
NCBITaxon:186806	PUBCHEM.COMPOUND:1146
NCBITaxon:1677868	PUBCHEM.COMPOUND:8468
NCBITaxon:1080226	PUBCHEM.COMPOUND:5280899
NCBITaxon:213421	PUBCHEM.COMPOUND:1146
NCBITaxon:1266046	PUBCHEM.COMPOUND:5280899
NCBITaxon:1496	PUBCHEM.COMPOUND:4615423
NCBITaxon:571	CHEBI:62064
NCBITaxon:1245	PUBCHEM.COMPOUND:6251
NCBITaxon:573	PUBCHEM.COMPOUND:439837
NCBITaxon:2070	PUBCHEM.COMPOUND:8468
NCBITaxon:1613	PUBCHEM.COMPOUND:10296
NCBITaxon:1760	PUBCHEM.COMPOUND:65037
NCBITaxon:83565	PUBCHEM.COMPOUND:297
NCBITaxon:1587	PUBCHEM.COMPOUND:444173
NCBITaxon:68895	PUBCHEM.COMPOUND:76720
NCBITaxon:818	PUBCHEM.COMPOUND:10296
NCBITaxon:584	PUBCHEM.COMPOUND:1146
NCBITaxon:1744	PUBCHEM.COMPOUND:1031
NCBITaxon:178606	PUBCHEM.COMPOUND:757
NCBITaxon:659	PUBCHEM.COMPOUND:774
NCBITaxon:2013649	PUBCHEM.COMPOUND:1146
NCBITaxon:2223	PUBCHEM.COMPOUND:297
NCBITaxon:1550	PUBCHEM.COMPOUND:802
NCBITaxon:2323	PUBCHEM.COMPOUND:547
NCBITaxon:2037	PUBCHEM.COMPOUND:464
NCBITaxon:615	PUBCHEM.COMPOUND:402
NCBITaxon:548	PUBCHEM.COMPOUND:444173
NCBITaxon:28116	PUBCHEM.COMPOUND:91469
NCBITaxon:2933746	PUBCHEM.COMPOUND:107
NCBITaxon:476842	PUBCHEM.COMPOUND:3080745
NCBITaxon:32046	PUBCHEM.COMPOUND:6560
NCBITaxon:216572	PUBCHEM.COMPOUND:1145
NCBITaxon:516051	PUBCHEM.COMPOUND:5280899
NCBITaxon:1892249	PUBCHEM.COMPOUND:1068
NCBITaxon:33043	PUBCHEM.COMPOUND:264
NCBITaxon:186827	PUBCHEM.COMPOUND:61503
NCBITaxon:1398	PUBCHEM.COMPOUND:61503
NCBITaxon:217159	PUBCHEM.COMPOUND:263
NCBITaxon:358	PUBCHEM.COMPOUND:802
NCBITaxon:157673	PUBCHEM.COMPOUND:1738118
NCBITaxon:392412	PUBCHEM.COMPOUND:5280899
NCBITaxon:435	PUBCHEM.COMPOUND:12358756
NCBITaxon:1952376	PUBCHEM.COMPOUND:92258
NCBITaxon:920	PUBCHEM.COMPOUND:757
NCBITaxon:88404	PUBCHEM.COMPOUND:297
NCBITaxon:36832	PUBCHEM.COMPOUND:102959
NCBITaxon:1396	PUBCHEM.COMPOUND:263
NCBITaxon:1537	PUBCHEM.COMPOUND:802
NCBITaxon:1493	PUBCHEM.COMPOUND:263
NCBITaxon:95485	PUBCHEM.COMPOUND:7427
NCBITaxon:303	PUBCHEM.COMPOUND:310
NCBITaxon:186803	PUBCHEM.COMPOUND:264
NCBITaxon:1772	PUBCHEM.COMPOUND:439764
NCBITaxon:1526	PUBCHEM.COMPOUND:6736
