PUBCHEM.COMPOUND:6083	NCBIGene:167227
PUBCHEM.COMPOUND:6083	NCBIGene:81844
PUBCHEM.COMPOUND:441	NCBIGene:1236
PUBCHEM.COMPOUND:783	NCBIGene:26007
PUBCHEM.COMPOUND:5870	NCBIGene:2099
PUBCHEM.COMPOUND:5957	NCBIGene:121441
PUBCHEM.COMPOUND:1084	NCBIGene:317749
PUBCHEM.COMPOUND:774	NCBIGene:10850
PUBCHEM.COMPOUND:174	NCBIGene:2356
PUBCHEM.COMPOUND:312	NCBIGene:5395
PUBCHEM.COMPOUND:5957	NCBIGene:3093
PUBCHEM.COMPOUND:6083	NCBIGene:27010
PUBCHEM.COMPOUND:6083	NCBIGene:10533
PUBCHEM.COMPOUND:1117	NCBIGene:2120
PUBCHEM.COMPOUND:6322	NCBIGene:51279
PUBCHEM.COMPOUND:871	NCBIGene:821
PUBCHEM.COMPOUND:196	NCBIGene:5692
PUBCHEM.COMPOUND:5892	NCBIGene:6470
PUBCHEM.COMPOUND:177	NCBIGene:2147
PUBCHEM.COMPOUND:104775	NCBIGene:5595
PUBCHEM.COMPOUND:439400	NCBIGene:5191
PUBCHEM.COMPOUND:753	NCBIGene:112714
PUBCHEM.COMPOUND:175	NCBIGene:4074
PUBCHEM.COMPOUND:187	NCBIGene:162466
PUBCHEM.COMPOUND:174	NCBIGene:5532
PUBCHEM.COMPOUND:312	NCBIGene:27445
PUBCHEM.COMPOUND:283	NCBIGene:11284
PUBCHEM.COMPOUND:1117	NCBIGene:23114
PUBCHEM.COMPOUND:174	NCBIGene:26153
PUBCHEM.COMPOUND:753	NCBIGene:55845
PUBCHEM.COMPOUND:875	NCBIGene:2281
PUBCHEM.COMPOUND:312	NCBIGene:6449
PUBCHEM.COMPOUND:774	NCBIGene:719
PUBCHEM.COMPOUND:92824	NCBIGene:762
PUBCHEM.COMPOUND:119	NCBIGene:59340
PUBCHEM.COMPOUND:529	NCBIGene:1739
PUBCHEM.COMPOUND:6022	NCBIGene:55351
PUBCHEM.COMPOUND:783	NCBIGene:3340
PUBCHEM.COMPOUND:145729	NCBIGene:10201
PUBCHEM.COMPOUND:12035	NCBIGene:4240
PUBCHEM.COMPOUND:5281	NCBIGene:335
PUBCHEM.COMPOUND:5884	NCBIGene:1585
PUBCHEM.COMPOUND:5957	NCBIGene:2961
PUBCHEM.COMPOUND:440936	NCBIGene:4886
PUBCHEM.COMPOUND:5950	NCBIGene:151742
PUBCHEM.COMPOUND:602	NCBIGene:84909
PUBCHEM.COMPOUND:68841	NCBIGene:183
PUBCHEM.COMPOUND:312	NCBIGene:3108
PUBCHEM.COMPOUND:602	NCBIGene:90701
PUBCHEM.COMPOUND:753	NCBIGene:3055
PUBCHEM.COMPOUND:13712	NCBIGene:1719
PUBCHEM.COMPOUND:774	NCBIGene:5330
PUBCHEM.COMPOUND:753	NCBIGene:2162
PUBCHEM.COMPOUND:175	NCBIGene:1789
PUBCHEM.COMPOUND:977	NCBIGene:54784
PUBCHEM.COMPOUND:3893	NCBIGene:148
PUBCHEM.COMPOUND:5892	NCBIGene:1528
PUBCHEM.COMPOUND:6031	NCBIGene:3358
PUBCHEM.COMPOUND:25701	NCBIGene:2170
PUBCHEM.COMPOUND:6022	NCBIGene:5256
PUBCHEM.COMPOUND:1014	NCBIGene:64386
PUBCHEM.COMPOUND:312	NCBIGene:2109
PUBCHEM.COMPOUND:6022	NCBIGene:3815
PUBCHEM.COMPOUND:6137	NCBIGene:5476
PUBCHEM.COMPOUND:187	NCBIGene:1234
PUBCHEM.COMPOUND:33032	NCBIGene:217
PUBCHEM.COMPOUND:896	NCBIGene:795
PUBCHEM.COMPOUND:94140	NCBIGene:570
PUBCHEM.COMPOUND:6083	NCBIGene:373
PUBCHEM.COMPOUND:867	NCBIGene:160428
PUBCHEM.COMPOUND:278	NCBIGene:10166
PUBCHEM.COMPOUND:5892	NCBIGene:1431
PUBCHEM.COMPOUND:5962	NCBIGene:23411
PUBCHEM.COMPOUND:5957	NCBIGene:6478
PUBCHEM.COMPOUND:11966197	NCBIGene:30
PUBCHEM.COMPOUND:18950	NCBIGene:9526
PUBCHEM.COMPOUND:5957	NCBIGene:23327
PUBCHEM.COMPOUND:175	NCBIGene:84193
PUBCHEM.COMPOUND:64689	NCBIGene:112937
PUBCHEM.COMPOUND:92851	NCBIGene:123624
PUBCHEM.COMPOUND:177	NCBIGene:1287
PUBCHEM.COMPOUND:6106	NCBIGene:4094
PUBCHEM.COMPOUND:5202	NCBIGene:1230
PUBCHEM.COMPOUND:294	NCBIGene:3738
PUBCHEM.COMPOUND:312	NCBIGene:285362
PUBCHEM.COMPOUND:311	NCBIGene:64761
PUBCHEM.COMPOUND:174	NCBIGene:10105
PUBCHEM.COMPOUND:312	NCBIGene:5054
PUBCHEM.COMPOUND:5951	NCBIGene:1488
PUBCHEM.COMPOUND:1123	NCBIGene:2565
PUBCHEM.COMPOUND:6083	NCBIGene:3738
PUBCHEM.COMPOUND:1110	NCBIGene:112
PUBCHEM.COMPOUND:10214	NCBIGene:8509
PUBCHEM.COMPOUND:33032	NCBIGene:2904
PUBCHEM.COMPOUND:753	NCBIGene:70
PUBCHEM.COMPOUND:977	NCBIGene:5034
PUBCHEM.COMPOUND:11005	NCBIGene:5947
PUBCHEM.COMPOUND:5988	NCBIGene:1950
PUBCHEM.COMPOUND:64689	NCBIGene:95
PUBCHEM.COMPOUND:1549098	NCBIGene:10914
PUBCHEM.COMPOUND:1172	NCBIGene:8908
PUBCHEM.COMPOUND:6305	NCBIGene:5686
PUBCHEM.COMPOUND:68841	NCBIGene:143098
PUBCHEM.COMPOUND:5885	NCBIGene:8529
PUBCHEM.COMPOUND:264	NCBIGene:6446
PUBCHEM.COMPOUND:445639	NCBIGene:51228
PUBCHEM.COMPOUND:5862	NCBIGene:56267
PUBCHEM.COMPOUND:174	NCBIGene:58510
PUBCHEM.COMPOUND:5957	NCBIGene:284996
PUBCHEM.COMPOUND:6022	NCBIGene:377841
PUBCHEM.COMPOUND:1117	NCBIGene:51719
PUBCHEM.COMPOUND:221493	NCBIGene:124
PUBCHEM.COMPOUND:6022	NCBIGene:5613
PUBCHEM.COMPOUND:152657	NCBIGene:10993
PUBCHEM.COMPOUND:174	NCBIGene:22901
PUBCHEM.COMPOUND:5202	NCBIGene:3355
PUBCHEM.COMPOUND:681	NCBIGene:627
PUBCHEM.COMPOUND:444493	NCBIGene:7994
PUBCHEM.COMPOUND:5892	NCBIGene:501
PUBCHEM.COMPOUND:312	NCBIGene:3101
PUBCHEM.COMPOUND:5957	NCBIGene:27127
PUBCHEM.COMPOUND:263	NCBIGene:92565
PUBCHEM.COMPOUND:996	NCBIGene:5648
PUBCHEM.COMPOUND:10140	NCBIGene:6554
PUBCHEM.COMPOUND:441	NCBIGene:111
PUBCHEM.COMPOUND:681	NCBIGene:4159
PUBCHEM.COMPOUND:783	NCBIGene:28962
PUBCHEM.COMPOUND:5950	NCBIGene:3240
PUBCHEM.COMPOUND:283	NCBIGene:5742
PUBCHEM.COMPOUND:6083	NCBIGene:142827
PUBCHEM.COMPOUND:753	NCBIGene:115752
PUBCHEM.COMPOUND:5962	NCBIGene:339501
PUBCHEM.COMPOUND:174	NCBIGene:123355
PUBCHEM.COMPOUND:445639	NCBIGene:2769
PUBCHEM.COMPOUND:280	NCBIGene:64344
PUBCHEM.COMPOUND:440936	NCBIGene:51289
PUBCHEM.COMPOUND:34755	NCBIGene:24140
PUBCHEM.COMPOUND:444493	NCBIGene:100527963
PUBCHEM.COMPOUND:444718	NCBIGene:6206
PUBCHEM.COMPOUND:11005	NCBIGene:400
PUBCHEM.COMPOUND:348154	NCBIGene:7299
PUBCHEM.COMPOUND:9903	NCBIGene:155
PUBCHEM.COMPOUND:753	NCBIGene:56261
PUBCHEM.COMPOUND:188966	NCBIGene:3101
PUBCHEM.COMPOUND:647	NCBIGene:2224
PUBCHEM.COMPOUND:5962	NCBIGene:2925
PUBCHEM.COMPOUND:5962	NCBIGene:3013
PUBCHEM.COMPOUND:312	NCBIGene:27079
PUBCHEM.COMPOUND:312	NCBIGene:9517
PUBCHEM.COMPOUND:5957	NCBIGene:5580
PUBCHEM.COMPOUND:887	NCBIGene:3047
PUBCHEM.COMPOUND:643975	NCBIGene:4697
PUBCHEM.COMPOUND:4971	NCBIGene:2512
PUBCHEM.COMPOUND:1117	NCBIGene:6723
PUBCHEM.COMPOUND:643975	NCBIGene:58157
PUBCHEM.COMPOUND:64689	NCBIGene:317749
PUBCHEM.COMPOUND:847	NCBIGene:10003
PUBCHEM.COMPOUND:5280795	NCBIGene:9381
PUBCHEM.COMPOUND:1150	NCBIGene:9038
PUBCHEM.COMPOUND:783	NCBIGene:4035
PUBCHEM.COMPOUND:312	NCBIGene:2624
PUBCHEM.COMPOUND:5957	NCBIGene:7125
PUBCHEM.COMPOUND:6083	NCBIGene:7844
PUBCHEM.COMPOUND:702	NCBIGene:219
PUBCHEM.COMPOUND:943	NCBIGene:8736
PUBCHEM.COMPOUND:174	NCBIGene:1994
PUBCHEM.COMPOUND:784	NCBIGene:5770
PUBCHEM.COMPOUND:312	NCBIGene:51106
PUBCHEM.COMPOUND:5957	NCBIGene:32
PUBCHEM.COMPOUND:1530	NCBIGene:5742
PUBCHEM.COMPOUND:5460341	NCBIGene:6711
PUBCHEM.COMPOUND:5957	NCBIGene:5516
PUBCHEM.COMPOUND:145742	NCBIGene:8854
PUBCHEM.COMPOUND:6083	NCBIGene:956
PUBCHEM.COMPOUND:5951	NCBIGene:83903
PUBCHEM.COMPOUND:289	NCBIGene:5743
PUBCHEM.COMPOUND:196	NCBIGene:5699
PUBCHEM.COMPOUND:249	NCBIGene:130
PUBCHEM.COMPOUND:439153	NCBIGene:55753
PUBCHEM.COMPOUND:783	NCBIGene:6506
PUBCHEM.COMPOUND:222528	NCBIGene:7001
PUBCHEM.COMPOUND:5960	NCBIGene:143471
PUBCHEM.COMPOUND:175	NCBIGene:23621
PUBCHEM.COMPOUND:444795	NCBIGene:3565
PUBCHEM.COMPOUND:5997	NCBIGene:496
PUBCHEM.COMPOUND:60961	NCBIGene:2695
PUBCHEM.COMPOUND:5957	NCBIGene:11163
PUBCHEM.COMPOUND:643976	NCBIGene:7386
PUBCHEM.COMPOUND:6022	NCBIGene:5617
PUBCHEM.COMPOUND:177	NCBIGene:6222
PUBCHEM.COMPOUND:996	NCBIGene:22901
PUBCHEM.COMPOUND:5957	NCBIGene:1024
PUBCHEM.COMPOUND:5892	NCBIGene:1537
PUBCHEM.COMPOUND:875	NCBIGene:8676
PUBCHEM.COMPOUND:5870	NCBIGene:1558
PUBCHEM.COMPOUND:92851	NCBIGene:11222
PUBCHEM.COMPOUND:312	NCBIGene:1892
PUBCHEM.COMPOUND:283	NCBIGene:29785
PUBCHEM.COMPOUND:174	NCBIGene:64895
PUBCHEM.COMPOUND:174	NCBIGene:26191
PUBCHEM.COMPOUND:1117	NCBIGene:9656
PUBCHEM.COMPOUND:753	NCBIGene:131096
PUBCHEM.COMPOUND:175	NCBIGene:489
PUBCHEM.COMPOUND:187	NCBIGene:1140
PUBCHEM.COMPOUND:445639	NCBIGene:1511
PUBCHEM.COMPOUND:3032849	NCBIGene:1286
PUBCHEM.COMPOUND:896	NCBIGene:6754
PUBCHEM.COMPOUND:753	NCBIGene:7957
PUBCHEM.COMPOUND:753	NCBIGene:55147
PUBCHEM.COMPOUND:774	NCBIGene:129521
PUBCHEM.COMPOUND:312	NCBIGene:2980
PUBCHEM.COMPOUND:681	NCBIGene:6863
PUBCHEM.COMPOUND:283	NCBIGene:152831
PUBCHEM.COMPOUND:311	NCBIGene:5328
PUBCHEM.COMPOUND:6137	NCBIGene:143471
PUBCHEM.COMPOUND:875	NCBIGene:1436
PUBCHEM.COMPOUND:1176	NCBIGene:383
PUBCHEM.COMPOUND:7991	NCBIGene:64106
PUBCHEM.COMPOUND:896	NCBIGene:23411
PUBCHEM.COMPOUND:1117	NCBIGene:126767
PUBCHEM.COMPOUND:311	NCBIGene:27440
PUBCHEM.COMPOUND:1117	NCBIGene:2752
PUBCHEM.COMPOUND:439168	NCBIGene:27165
PUBCHEM.COMPOUND:6022	NCBIGene:56171
PUBCHEM.COMPOUND:7427	NCBIGene:26253
PUBCHEM.COMPOUND:5957	NCBIGene:5207
PUBCHEM.COMPOUND:1117	NCBIGene:115825
