metabolite
C04246
C15653
C11482
C00138
C20375
C03323
C05933
C05357
C00139
C05750
C04619
C05759
C01242
C05737
C05753
C02474
C05746
C05223
C00125
C02972
C05754
C05748
C03454
C00930
C06020
C05760
C04688
C05747
C00126
C00342
C02987
C04620
C05763
C01641
C01271
C02315
C05751
C06021
C02967
C00182
C16221
C06250
C16220
C05758
C02582
C19692
C00478
C05756
C05757
C00856
C05535
C05358
C04419
C00569
C19846
C02051
G00035
G11598
G10130
G06506
G03769
G02055
G00027
G09800
